,dcode,dname
168,2019091900127,가바페캡슐100mg
169,2019091900128,가바페캡슐300mg
170,2018022700004,가바펜다캡슐100mg
171,2018022700005,가바펜다캡슐300mg
172,2018022700006,가바펜다캡슐400mg
173,A11AOOOOO5453,가바펜캡슐
174,2020052900046,가바프로캡슐100mg
175,2020052900044,가바프로캡슐300mg
176,A11AOOOOO5927,가바피나캡슐
177,2015061600010,가바피나캡슐100mg
178,A11AOOOOO9272,가베린연질캡슐
179,A11A0710A0260,가베스캡슐
180,2019022200007,가베스틴캡슐
181,A11AOOOOO5852,가베스판연질캡슐
182,2016051800011,가베콘연질캡슐
183,2013022700079,가베트정500mg
184,2015100600019,가베틴캡슐100mg
185,zgtv36tnnybv2,가베틴캡슐300mg
186,A11ABBBBB2251,가벡실주사100mg
187,2020042100006,가벤틴캡슐100mg
188,A11AOOOOO8480,가벤틴캡슐300mg
189,2017072400007,가벨린정150mg
190,2019073000018,가벨린정25mg
191,2019073000017,가벨린정50mg
192,2017072400008,가벨린정75mg
193,2022033000005,가브레토캡슐100mg
194,2021031000007,가브빌다정50mg
195,A11AKP08D0247,가브스메트정50/1000mg
196,2012090400006,가브스메트정50/500mg
197,A11AKP08D0248,가브스메트정50/850mg
198,A11AKP08A0214,가브스정50mg
199,2021102600012,가블리메트정
200,2022012100001,가블리정
201,2015072400014,가비르정주500mg
202,2018021900011,가비스타캡슐100mg
203,2018021900012,가비스타캡슐300mg
204,b43eg8fn542zm,가쁘레엑스과립(인삼패독산)
205,2020030900015,가소라딘정
206,A11A1500A0250,가소백산(가미소요산)
207,2019101700032,가소콜액(10mL)
208,A11A2830A0068,가소콜액(500mL)
209,2013062800004,가스딘정2mg
210,2019041800056,가스딘정4mg
211,2014040100021,가스라딘정2mg
212,2020030300008,가스란정2mg
213,2020030300007,가스란정4mg
214,2013040100006,가스론엔구강붕해정2mg
215,2014080100001,가스론엔구강붕해정4mg
216,A11AKP08G2235,가스론엔정2mg
217,A11AKP08A0400,가스론엔정4mg
218,2012111900015,가스루정
219,2009071505217,가스리드정5mg
220,2009071502881,가스리스연질캡슐(수출용)
221,2014122400009,가스모빌정
222,2019022200014,가스모사씨알정
223,A11AMMMMM0692,가스모틴산제
224,2017120400002,가스모틴에스알정
225,A11AIIIII0006,가스모틴정5mg
226,2019062500029,가스모프정
227,2018073100026,가스모핀정
228,A11AKP08A0411,가스몬정
229,A11AOOOOO6688,가스민정
230,2009071505201,가스베트정5mg
231,2019121000002,가스부틴정100mg
232,2017050400002,가스세이프구강용해필름
233,2023082100003,가스앤드액
234,2017010600007,가스엑션쓰리연질캡슐(수출용)
235,2016051200006,가스엑션연질캡슐(수출용)
236,2017010600008,가스엑션투연질캡슐(수출용)
237,2012112700002,가스잘정
238,2016081000004,가스제로구강필름
239,2020042000033,가스젯에스알정15mg
240,2015041600035,가스칸정
241,2020052100009,가스칸투엑스정
242,2009071501785,가스켐테크놀로지의료용산소
243,2018040500004,가스콘액
244,2015040900015,가스큐액
245,2016061700012,가스크린액
246,qlbl7y7h7647s,가스키환(연라환)
247,2019110100001,가스타놀정
248,2020052200007,가스타놀투엑스정
249,2014110300049,가스탁액
250,A11AKP08A0422,가스탄정
251,A11AJJJJJ0138,가스터디정20mg
252,2022081200005,가스터주사액20mg
253,A11A0260A0387,가스텍정
254,2020052100010,가스토렌정
255,A11A0900A0311,가스토텍정
256,A11AOOOOO0965,가스토텍정100μg
257,A11ACCCCC0225,가스트렉스과립
258,A11AKP09D0093,가스트렌정(수출용)
259,2014012200007,가스트로겔현탁액(수출용)
260,A11ABBBBB1001,가스트로그라핀
261,2017071100004,가스트로메토주
262,2018110100038,가스트리액
263,2023020600003,가스트릭서방정
264,A11AOOOOO7655,가스트릭캡슐
265,A11AKP08J0041,가스트릭캡슐37.5mg
266,2021031500003,가스트큐정
267,2015082800003,가스티딘정150mg
268,2015011300008,가스티렌정
269,2019012500058,가스티렌투엑스정
270,2016070100017,가스티인씨알정
271,2012121700003,가스티인정
272,2020042000029,가스티젠에스알정15mg
273,2020020400007,가스파모정20mg
274,A11AOOOOO3166,가스파민정
275,2009091800112,가스페리돈액
276,A11AFFFFF0004,가스페린정(수출용)
277,27tcdaqc935tu,가스펠현탁액
278,2012103100001,가스푸딘정
279,A11AKP08A0430,가스프라이드정
280,2020042700064,가스프렌씨알정15mg
281,2009071505160,가스프렌정
282,A11AKP08A0410,가스프리드정
283,A11AJJJJJ0119,가스프리캡슐
284,2020042700063,가스프린서방정15mg
285,A11AKP08F0018,가스프린정
286,A11AKP08A0431,가스피드정
287,2020042000032,가스피란에스알정15mg
288,A11AKP08A0419,가스피란정5mg
289,2020042700033,가스핀서방정15mg
290,A11AKP08C0025,가스핀정
291,2014092300015,가싸이바주
292,2016060100033,가오브릭정80mg
293,A11AMMMMM1488,가제트정
294,wq6cwyw7jsgkp,가천대2-데옥시-2-플루오로-D-글루코스(18F)주사액
295,2018082000004,가텍스주
296,2014082100024,가토젠정
297,2020010700007,가토프리드정
298,2020040600006,가티딘정20mg
299,2018022800010,가티스정
300,A11AOOOOO9864,가티플로점안액
301,2014120500013,가틴캡슐
302,2016062400009,가펜트캡슐100mg
303,2016062400008,가펜트캡슐300mg
304,A11APPPPP0559,가펜틴캡슐100mg(수출용)
305,A11AOOOOO5656,가펜틴캡슐300mg
306,A11AKP08G4756,가프라톤정
307,A11APPPPP0139,가프리드정
308,2014041400008,가화골드정
309,A11A2260A0502,간비액(인진오령산가인삼)
310,A11AKP07L0332,갈천신순정산(갈근탕가천궁신이엑스)
311,2017052300004,감마그론골드연질캡슐
312,A11A2260A0269,개풍경옥고(수출용)
313,2019101600001,건스펜틴캡슐100mg
314,2019101600002,건스펜틴캡슐300mg
315,A11APPPPP1623,건위황정
316,A11AOOOOO4806,건일가바펜틴캡슐300mg
317,2022081700002,건일슈가마덱스나트륨주
318,2019101600032,검가드프로겔
319,A11APPPPP1225,경남그린웰연질캡슐
320,A11AKP08G1150,경방가미소요산엑스과립
321,2019112500006,경방가미소요산연조엑스(단미엑스혼합제)
322,2020072300002,경방가미온담탕연조엑스
323,A11AKP08G1154,경방계지가용골모려탕엑스과립
324,A11AKP07L0294,경방계지복령환가대황엑스과립
325,A11AKP07L0358,경방당귀사역가오수유생강탕엑스과립
326,A11AKP08G1351,경방향성파적환엑스과립
327,2020012900021,경일가스텍의료용산소
328,A11A3660A0061,경진갈근탕가천궁신이엑스과립
329,2014091600004,경진억간산가진피반하엑스과립
330,A11ABBBBB2002,계령대과립(계지복령환료가대황엑스과립)
331,A11AKP07L0303,계모순정산(계지가용골모려탕엑스)
332,A11APPPPP0725,고가이큐캡슐
333,2009120700004,고리튼정
334,2018051400004,골드타민에프연질캡슐
335,A11AKP08F0328,골드타민연질캡슐
336,2018013100002,광동경옥고(수출용)
337,2015061100029,광동리버샷액
338,2016012600004,광동리버샷정
339,2020062200001,광동리버샷정300
340,2023051500007,광동침옥고
341,2023071000002,광동포비돈요오드가글액
342,2016061500005,광동프레가발린캡슐150mg
343,2016061500006,광동프레가발린캡슐75mg
344,A11APPPPP0838,국제에이스큐텐연질캡슐
345,2019020700076,군포가스의료용산소
346,2012091900013,굿모닝에스과립
347,2017112300002,굿모닝에이스정
348,A11AKP08F0287,굿모닝에프과립
349,A11A0090A0087,귀비론과립(가미귀비탕엑스)
350,2023032100003,그랠리즈서방정300mg
351,2023032100004,그랠리즈서방정600mg
352,2023030200005,그루시가정10/4mg
353,A11AKP08L0162,그리밍캡슐
354,A11AKP08G0643,그린라인경질캡슐
355,A11AKP07L0448,그린미캡슐
356,A11APPPPP2395,그린슬림캡슐
357,A11APPPPP0745,그린엠캡슐
358,2022011300015,그린포비돈요오드가글액7.5%
359,A11A0770A0316,그린폰캡슐
360,2019022200053,그린헥시딘가글액
361,2020072200006,그린헥시딘가글액0.12%
362,2018031900001,그린휴정
363,2020060100088,글로메가연질캡슐
364,2009090700217,글로큐텐연질캡슐
365,2012040200010,기가렉스연질캡슐
366,A11AKP07L0069,기가에이연질캡슐
367,2016010500056,기가엔드연질캡슐
368,2016091900016,기가제로연질캡슐
369,A11AGGGGG7012,기가천과립(소청룡탕)
370,2023082400005,기가치올액
371,2016062800017,기가치올플러스액
372,2016060800006,기가파워연질캡슐
373,2016113000004,기가프신연질캡슐
374,2019112000005,길라임캡슐
375,2018022600001,김천종합가스의료용산소
376,A11AOOOOO2196,까스속청액
377,at31p3zmc52lw,나노펜정
378,2023012000001,나누당시가정10/100mg
379,2016071200002,나도가드정40mg
380,A11A3300A0296,나르민캡슐
381,A11AKP07L0165,나르신캡슐
382,2016050200007,나인나인정
383,2016050300102,나조메가나잘스프레이(140dose)
384,2010050400006,나조메가나잘스프레이(80dose)
385,A11A3400A0219,네가박트정
386,A11A3400B0009,네가박트정200mg(수출용)
387,A11A5060A0018,네가펜캡슐(수출용)
388,A11AOOOOO6403,네버펜틴정600mg
389,2015081900013,네버펜틴캡슐100mg
390,A11AOOOOO7628,네버펜틴캡슐300mg
391,2018012300005,네오콜코프캡슐
392,A11AKP08G2830,네오티가손캡슐10mg
393,A11AOOOOO5720,네오펜틴캡슐
394,A11AOOOOO5719,네오펜틴캡슐100mg
395,2019060400018,네이날정
396,2017070600005,네일락정
397,2023081100005,네일락콤비정
398,2016062100042,넥리카캡슐150mg
399,2020060100001,넥리카캡슐25mg
400,2020060100002,넥리카캡슐50mg
401,2016062100043,넥리카캡슐75mg
402,2018051700005,넥소브리드겔5g
403,2009071505716,넥크린과립(향성파적환)
404,A11AOOOOO6281,넬슨가바펜틴캡슐
405,2020030400007,넬슨가바펜틴캡슐100mg
406,2015090100014,노루모에스산
407,A11ACCCCC0217,노루모에이산(수출용)
408,2015090100013,노루모에이스산
409,A11ABBBBB1024,노루모에이정(수출용)
410,2014093000009,노루모에프산
411,2009071504245,노모어연질캡슐(수출용)
412,A11AKP08G3777,노바스탄하이주10mg/2mL
413,2022122600003,노바스탄하이주10mg/2mL
414,A11AKP07L0477,노비캡슐
415,A11AKKKKK0298,노즈펜정
416,2019060400011,노페라정
417,2009071502654,누트린정500mg(수출용)
418,A11APPPPP1088,뉴가바캡슐100mg
419,A11AOOOOO9256,뉴가바캡슐300mg
420,2019081200038,뉴가틴엠캡슐100mg
421,2019081200037,뉴가틴엠캡슐300mg
422,2014093000027,뉴가펜캡슐300mg
423,2020101400008,뉴넥스정
424,2018082900006,뉴라일라정
425,2020070800006,뉴락스에프정
426,2010071600003,뉴란스비플러스정
427,A11AOOOOO4840,뉴렙톨캡슐100mg
428,A11AOOOOO3188,뉴렙톨캡슐300mg
429,2015041000019,뉴로가바캡슐
430,2015060300181,뉴로가발린캡슐150mg
431,2020052200019,뉴로가발린캡슐25mg
432,2020052200020,뉴로가발린캡슐50mg
433,2015060300173,뉴로가발린캡슐75mg
434,2016040100042,뉴로가펜캡슐100mg
435,2019031900029,뉴로가펜캡슐300mg
436,2016040100041,뉴로가펜캡슐400mg
437,2021083000035,뉴로나타알주
438,2016072500004,뉴로닌캡슐100mg
439,A11AOOOOO6080,뉴로닌캡슐300mg
440,2022021000008,뉴로디온주
441,2019040500061,뉴로발린캡슐150mg
442,2021010400016,뉴로발린캡슐300mg
443,2019040500060,뉴로발린캡슐75mg
444,A11AOOOOO4393,뉴로스캡슐
445,A11APPPPP1060,뉴로스캡슐100mg
446,A11AOOOOO3822,뉴로카바캡슐
447,A11AOOOOO8842,뉴로카바캡슐100mg
448,2011102400011,뉴로카바피지캡슐150mg
449,2018121200001,뉴로카바피지캡슐25mg
450,2017120100004,뉴로카바피지캡슐300mg
451,2018121200002,뉴로카바피지캡슐50mg
452,2011102400006,뉴로카바피지캡슐75mg
453,2011110100027,뉴로페인캡슐150mg
454,2011110100022,뉴로페인캡슐75mg
455,A11AOOOOO5566,뉴로펜틴캡슐
456,2016060900012,뉴론가바캡슐
457,2019041800003,뉴론텍캡슐100mg
458,2019041800004,뉴론텍캡슐300mg
459,A11AOOOOO4818,뉴론틴정600mg
460,A11AOOOOO4819,뉴론틴정800mg
461,A11ABBBBB1033,뉴론틴캡슐100mg
462,A11ABBBBB1034,뉴론틴캡슐300mg
463,A11ABBBBB1035,뉴론틴캡슐400mg
464,2019072300045,뉴론펜틴캡슐100mg
465,2019072300044,뉴론펜틴캡슐300mg
466,2011102800013,뉴리카캡슐150mg
467,2017080100022,뉴리카캡슐300mg
468,2011102800012,뉴리카캡슐75mg
469,2023033100004,뉴마론연질캡슐0.5g
470,2020120300006,뉴마코알연질캡슐
471,2023032400003,뉴마코에스연질캡슐500mg
472,2015010200023,뉴마코연질캡슐
473,2020020300004,뉴메틴미니연질캡슐
474,2020042900003,뉴메틴연질캡슐
475,2021021900069,뉴미가서방정50mg
476,2017110700001,뉴믹스탈삼중정
477,A11AOOOOO8479,뉴바틴캡슐
478,A11AOOOOO9026,뉴벤틴캡슐
479,2020051400002,뉴벤틴캡슐100mg
480,2022052500016,뉴시가정10mg
481,2018120300030,뉴카펜캡슐150mg
482,2018120300029,뉴카펜캡슐75mg
483,2015102900016,뉴토가정10mg
484,2022071100006,뉴토메가연질캡슐5/1000mg
485,2016051200007,뉴트리플렉스오메가스페셜주
486,2016051600014,뉴트리플렉스오메가플러스주
487,2016021200002,뉴펜틴캡슐100mg
488,2014070100004,뉴펜틴캡슐300mg
489,2023011900001,다누시가정10/100mg
490,2017081100002,다리아정
491,2019040500063,다림오메가3연질캡슐1000mg
492,2019090900103,다림프레가발린캡슐150mg
493,2019090900102,다림프레가발린캡슐75mg
494,2018111600012,다비닥사캡슐110mg
495,2018111600011,다비닥사캡슐150mg
496,2018111600007,다비란캡슐110mg
497,2018111600008,다비란캡슐150mg
498,2018111600006,다비올캡슐110mg
499,2018111600005,다비올캡슐150mg
500,2018040200001,다비칸캡슐110mg
501,2018040200002,다비칸캡슐150mg
502,2018033000019,다비트란캡슐110mg
503,2018033000020,다비트란캡슐150mg
504,A11A5070A0162,다이너톤정(수출용)
505,A11AOOOOO5420,다이센캡슐
506,A11APPPPP1987,다이어텐캡슐
507,A11A6060A0053,다이엔캡슐
508,2023020100020,다파가정10mg
509,2020061800015,다파시가정10mg
510,2023011600019,다포가듀오서방정10/1000mg
511,2023011600018,다포가듀오서방정10/500mg
512,2023010400002,다포가정10mg
513,2022010700009,다포가플러스정10/100mg
514,A11APPPPP2443,닥터큐텐연질캡슐
515,2009071504873,단일가스켐의료용산소
516,2013100100014,단일가스켐의료용아산화질소
517,tpx6cy2ap2cxi,담청환
518,A11A0090A0035,당사닌과립(당귀사역가오수유생강탕)
519,A11A1500A0320,당사생백산(당귀사역가오수유생강탕)
520,2022080100002,당시가정10mg
521,2022080100001,당시가정5mg
522,A11A3660A0037,당치환(위생천화원)
523,2009071504110,대성가스텍의료용산소
524,2014073000021,대성의료종합가스의료용산소
525,2010070500004,대웅가바펜틴정(수출용)
526,2010070500002,대웅가바펜틴캡슐(수출용)
527,A11ABBBBB2792,대한10%포도당가생리식염액
528,A11APPPPP0611,대한5%포도당가0.45%염화나트륨주
529,A11ABBBBB2733,대한5%포도당가생리식염액(1L/백)
530,A11ABBBBB2734,대한5%포도당가생리식염액(500mL/백)
531,2019101600053,대한5%포도당가생리식염액(500mL/병)
532,A11ABBBBB2735,대한5%포도당가칼륨나트륨주1호
533,A11ABBBBB2736,대한5%포도당가칼륨나트륨주2호(1000mL/백)
534,2016100500003,대한5%포도당가칼륨나트륨주2호(500mL/백)
535,A11ABBBBB2737,대한5%포도당가칼륨나트륨주3호
536,2022020800005,대한슈가마덱스나트륨주
537,2012120300018,더가드코와정장정
538,2016101400006,더블자임정
539,2023091500036,더판디탈정
540,2009071500230,덕양가스의료용산소
541,2014102800014,덴타가드플러스캡슐
542,2020050400017,덴티가드랩잇마스터겔
543,pfmfgzu9nlkld,도타렘주(10mL/관)
544,A11ABBBBB0268,도타렘주(10mL/병)
545,jf2lhd7prqpqg,도타렘주(15mL/관)
546,A11AOOOOO7174,도타렘주(15mL/병)
547,to6u1qv8ikyii,도타렘주(20mL/관)
548,A11AOOOOO7170,도타렘주(20mL/병)
549,2019090400016,도타렘주(5mL/병)
550,2011123000006,동광프레가발린캡슐150mg
551,2019110700007,동광프레가발린캡슐25mg
552,2019110700006,동광프레가발린캡슐50mg
553,2011123000007,동광프레가발린캡슐75mg
554,2019032900061,동구오메가3연질캡슐
555,2012101600004,동방프레가발린캡슐150mg(수출용)
556,2012101600005,동방프레가발린캡슐75mg(수출용)
557,2020040100009,동서산업가스의료용산소
558,A11ABBBBB0023,동성정로환
559,A11A0670A0197,동성정로환당의정
560,2017011300006,동성정로환디
561,2018080700007,동성정로환에프정
562,2018061500010,동성정로환에프환
563,w73hqsi3vtagq,동아가바펜틴정600mg
564,A11APPPPP0887,동아가바펜틴정800mg
565,A11AOOOOO5345,동아가바펜틴캡슐100mg
566,A11AOOOOO5344,동아가바펜틴캡슐300mg
567,A11AOOOOO9327,동아가바펜틴캡슐400mg
568,A11A0150B0001,동아가스터정20mg
569,A11A0150A0470,동아가스터주20mg(바이알)
570,A11AEEEEE0544,동의계지가작약탕엑스과립
571,2009071505322,동의정장환(정로환)
572,A11AKP08G2214,동의후비과립(갈근탕가천궁신이엑스과립)
573,2014091900002,듀악겔3%
574,A11AKP08G0619,듀악겔5%
575,2017082200012,듀오그린정
576,2023081100007,듀오조인정
577,2013022700011,듀케이겔
578,2022021000007,디뉴덱스주
579,A11A3700A0249,디바캡슐
580,2009071501779,디아이지에어가스의료용산소
581,A11AKP08D0229,디패트캡슐
582,2022071500002,땡큐장용연질캡슐
583,A11AKP08K0218,라니그린캡슐
584,2019110100032,라니탄큐정
585,2011102600032,라라카캡슐150mg
586,2011102600035,라라카캡슐75mg
587,2016021700016,라리칸캡슐150mg
588,2019062500034,라리칸캡슐75mg
589,2016022400011,라리칸캡슐75mg
590,2020031300002,라미가드정
591,2013111400010,라에넥피오(수출용)
592,A11AOOOOO6804,라이넥주
593,2011022400001,라이넥주바이알
594,2014080400003,라이넥피오정(수출용)
595,2014031800009,라이넥피오캡슐(수출용)
596,2019041800068,라이트프레가발린캡슐150mg
597,2019052200016,라이티스정
598,A11AKP08G0642,라인에스캡슐
599,2014032400008,라토가정10mg
600,2016060100040,라푸토가정
601,A11AOOOOO0510,란가톤정(수출용)
602,2012113000007,란가톤캡슐15mg
603,2011070100013,란가톤캡슐30mg
604,heuc5nhe6bk47,래피콜에이캡슐
605,A11A1310A0092,레가론정
606,A11A1310A0260,레가론캡슐140
607,A11A1310A0263,레가론캡슐70
608,2016120500060,레가론현탁액
609,2018040200011,레가리버350연질캡슐
610,2020042900010,레가마린연질캡슐
611,2020040100044,레가바정150mg
612,2021122100003,레가바정25mg
613,2020040100043,레가바정50mg
614,2020040100042,레가바정75mg
615,2016061500007,레가바캡슐150mg
616,2016061500008,레가바캡슐75mg
617,A11AOOOOO5612,레가셀연질캡슐
618,A11A1660A0114,레가스탄정100mg
619,A11AOOOOO6984,레가탄연질캡슐
620,2009091800164,레가탄포르테연질캡슐
621,2016042700012,레고펜틴캡슐100mg
622,2016042600011,레고펜틴캡슐300mg
623,2018082900005,레나본정
624,2009091800216,레논비타연질캡슐
625,2009071502682,레드겔연질캡슐(수출용)
626,2011110400009,레드톤연질캡슐(수출용)
627,A11A0900A0326,레디씬캡슐
628,2020010600006,레라본정
629,2017042800001,레리카캡슐150mg
630,2017042800002,레리카캡슐75mg
631,2019042500091,레맥스정
632,2020021900008,레스본정
633,2020110300011,레시노원주
634,2017070600004,레아스정
635,2019060400020,레오락정
636,2020052200021,레오론정
637,2019040500002,레오스틴정
638,2019121300004,레이나정
639,2020051500009,레이밀라정
640,2017070500003,레이본정
641,2019060400021,레이브정
642,2023081100008,레이셀코정
643,2017070600003,레이스타정
644,2019040500001,레이온정
645,2020050800003,레이원정
646,2019081200068,레이튼정
647,2018073100016,레인스정(수출용)
648,2017071100019,레인트정
649,2023081000003,레일라디에스정
650,2012031500004,레일라정
651,2018051500005,레일론정
652,2019112100020,레일본정
653,2023081100020,레콕스정
654,2020022100004,레큐리정
655,2019060400019,레큐어정
656,2023040600003,레포소정
657,2020021100007,레프리카캡슐150mg
658,2020021100010,레프리카캡슐25mg
659,2020021100009,레프리카캡슐50mg
660,2020021100008,레프리카캡슐75mg
661,2023081100004,렉스듀오정
662,A11AKP08G2615,렉스포장용캡슐
663,2009090700373,렉시타민연질캡슐
664,2013112700014,로가렉신연질캡슐
665,lxl2wjewttxla,로가큐텐연질캡슐
666,A11ALLLLL0080,로가톤골드연질캡슐
667,2019032900060,로마코연질캡슐
668,2020120300011,로메가연질캡슐
