,recipe_title,총합_에너지(kcal),총합_수분(g),총합_단백질(g),총합_지방(g),총합_회분(g),총합_탄수화물(g),총합_당류(g),총합_식이섬유(g),총합_칼슘(mg),총합_철(mg),총합_인(mg),총합_칼륨(mg),총합_나트륨(mg),총합_비타민a(μg rae),총합_레티놀(μg),총합_베타카로틴(μg),총합_티아민(mg),총합_리보플라빈(mg),총합_니아신(mg),총합_비타민c(mg),총합_비타민d(μg),총합_콜레스테롤(mg),총합_포화지방산(g),총합_트랜스지방산(g),총합_폐기율(%)
13,낙지볶음,143.55,5.625,5.98,3.78,2.336,27.279,7.852,16.965,35.55,2.2,153.9,1143.45,5.85,276.3,0.0,3313.35,0.194,0.972,3.794,0.0,0.0,0.0,0.666,0.023,0.0
14,얼큰 닭고기 찌개,140.95,136.365,7.172,1.354,5.18,29.934,2.661,7.615,23.7,1.872,172.95,984.7,1207.3,93.1,0.0,1112.45,0.361,0.447,2.105,0.5,0.0,0.0,0.242,0.008,11.5
15,[해외자취Cook.feel通]242. 연두 된장찌개 레시피 <연두활용요리 10탄>,121.6,96.26,6.42,2.157,5.121,20.048,0.123,3.34,39.2,1.465,112.4,492.9,1546.6,1.3,0.0,10.1,0.252,0.107,0.314,0.0,0.0,0.0,0.323,0.006,0.0
16,느타리버섯 간장 불고기,128.7,254.785,14.034,0.034,23.49,27.689,14.232,0.42,52.15,2.996,341.2,1319.95,8419.65,0.0,0.0,0.0,0.767,0.334,3.314,2.0,0.0,0.0,0.0,0.0,46.0
17,황사에 좋은 더덕 제육볶음,56.45,9.565,2.338,1.334,0.854,10.91,3.278,6.535,15.65,0.806,61.3,407.35,1.95,92.2,0.0,1105.25,0.07,0.326,1.283,0.44,0.0,0.0,0.225,0.008,0.0
18,홍합 스튜,15.95,0.625,0.664,0.42,0.26,3.031,0.872,1.885,3.95,0.244,17.1,127.05,0.65,30.7,0.0,368.15,0.022,0.108,0.422,0.0,0.0,0.0,0.074,0.003,0.0
19,우거지 된장찌개,348.0,163.44,35.352,7.992,2.88,30.264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,냉이 된장찌개,9.8,16.84,1.018,0.1,0.204,1.838,0.0,1.62,38.4,1.948,20.0,36.0,0.8,27.6,0.0,331.0,0.0,0.064,0.08,7.16,0.0,0.0,0.02,0.0,0.0
21,별미 중에 별미 열무김치찌개,58.5,37.5,10.02,1.695,0.66,0.105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,매콤함에 몸서리쳐지는 오징어 볶음,1044.9,140.13,165.843,17.249,48.01,288.627,12.102,109.33,134.4,40.315,5192.9,17788.4,2751.6,201.2,0.0,2406.9,3.471,14.47,71.26,31.9,0.0,0.0,2.954,0.065,0.0
23,주꾸미 볶음,432.7,165.87,14.213,22.743,13.943,53.255,12.846,22.95,151.45,5.004,341.65,2371.25,3630.0,485.9,0.0,5829.8,0.541,1.425,6.014,21.35,0.0,0.0,2.426,0.134,12.0
24,시엄마표 청국장 언제나 맛있게 먹는 남편,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,매콤한 마파두부,5.1,10.59,0.888,0.004,3.152,0.37,0.044,0.06,5.85,0.099,18.15,98.55,1199.85,0.0,0.0,0.0,0.021,0.016,0.13,0.0,0.0,0.0,0.0,0.0,0.0
26,매콤한 닭떡볶음,200.3,153.545,7.063,3.523,5.364,40.512,19.571,17.57,191.25,2.694,178.4,952.95,1213.45,201.7,0.0,2418.9,0.15,0.824,2.919,15.95,0.0,0.0,0.539,0.015,0.0
27,압력솥돼지고기김치짜개&사리면,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,부대찌개/집에서 간단하게 끓여보세요,122.7,94.85,8.187,3.42,2.657,20.886,5.235,11.31,33.7,2.067,148.6,900.3,8.9,185.2,0.0,2217.9,0.219,0.808,3.029,17.0,0.0,0.0,0.444,0.015,0.0
29,추억의 맛 비지찌게,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,청국장찌개,9.0,45.1,1.95,0.0,0.35,2.6,0.0,0.0,1.0,0.55,53.5,154.0,4.5,0.0,0.0,0.0,0.155,0.055,0.6,0.5,0.0,0.0,0.0,0.0,11.5
31,"매콤한 된장찌개, 건더기 많은 된장찌개 ₩",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,매콤한 떡닭가슴살볶음,206.9,244.2,8.324,8.543,2.084,26.849,9.727,0.3,210.3,0.63,219.2,631.4,84.7,99.0,99.0,0.0,0.177,0.306,0.858,5.4,0.0,17.46,3.931,0.252,12.0
33,쭈꾸미 버섯 볶음,142.8,200.14,10.075,2.725,5.908,26.156,5.278,11.37,107.55,18.566,242.75,860.85,1203.75,198.2,0.0,2372.9,0.23,1.144,3.06,16.0,0.0,0.0,0.444,0.015,0.0
34,훈제오리 양념볶음,252.75,205.26,13.794,4.532,10.588,55.896,22.227,25.685,62.45,3.342,352.35,2088.65,2414.25,276.3,0.0,3313.35,0.296,1.238,4.774,0.0,2.86,0.0,0.766,0.023,0.0
35,시원한 국물 맛의 바지락 된장찌개,287.6,253.46,24.16,5.857,7.281,39.248,0.303,7.64,43.2,1.885,193.4,859.9,1549.6,1.3,0.0,10.1,0.282,0.224,0.674,0.0,1.43,0.0,0.373,0.006,0.0
36,두부넣고 시원하고 깔끔한 맛의 굴새우젓찌개만들기,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,소고기 야채 볶음,179.55,185.83,5.2,15.138,1.21,7.621,0.0,0.0,84.45,17.262,136.85,8.4,2.4,14.15,0.0,165.65,0.08,0.49,0.4,16.0,0.0,0.0,2.198,0.044,0.0
38,삼겹살 고추장 불고기,235.4,140.93,10.543,5.204,9.29,44.042,8.477,12.93,45.9,2.445,254.9,1497.4,2503.1,184.2,0.0,2208.9,0.356,0.71,3.26,4.6,0.0,0.0,0.489,0.015,12.0
39,오늘부터 밥도둑은 나 오징어 파김치 찌개,70.0,164.8,6.0,1.4,1.8,26.0,0.0,0.0,10.0,1.2,68.0,492.0,12.0,0.0,0.0,0.0,0.12,0.54,4.0,0.0,0.0,0.0,0.0,0.0,0.0
40,햄 두부김치,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,콩나물 불고기,315.5,277.35,16.587,20.199,9.387,26.486,5.235,11.31,72.4,5.394,266.25,1196.05,2001.3,187.95,0.0,2244.75,0.399,1.137,4.029,51.0,0.0,0.0,1.588,0.076,0.0
42,조랭이 떡볶음,428.8,210.52,30.98,25.286,2.498,19.292,2.73,0.0,19.0,1.792,340.0,912.9,83.2,14.4,14.4,0.0,0.921,0.243,9.164,7.66,1.568,111.68,7.274,0.144,15.6
43,돼지갈비 김치찌게,2.3,9.28,0.178,0.015,0.047,0.48,0.263,0.16,2.4,0.082,3.0,18.1,0.0,2.3,0.0,27.7,0.007,0.009,0.014,0.36,0.0,0.0,0.007,0.0,2.8
44,[해외자취Cook.feel通]209. 까나리 감자찌개 레시피 <까나리액젓요리 7탄>,349.4,72.105,23.434,24.048,1.699,9.114,2.617,5.655,22.3,3.766,240.15,698.55,57.35,98.25,6.0,1106.1,0.114,0.411,5.294,1.1,0.58,51.5,5.56,0.231,0.0
45,"♪ 황사소식이 있는 날 만든, 삼겹살떡불고기",137.55,0.03,0.0,14.938,0.01,0.021,0.0,0.0,6.45,0.262,14.85,8.4,2.4,0.15,0.0,1.65,0.0,0.01,0.0,0.0,0.0,0.0,2.198,0.044,0.0
46,고추장찌개 황금레시피,205.85,159.475,6.674,1.44,2.578,44.833,2.617,9.455,21.85,1.713,151.3,1083.15,3.95,94.1,0.0,1120.45,0.304,0.428,1.484,0.0,0.0,0.0,0.262,0.008,0.0
47,돼지고기 카레볶음,37.82,35.567,0.132,0.018,0.371,9.933,6.739,0.346,3.38,0.072,5.98,63.27,0.94,0.02,0.0,0.19,0.016,0.029,0.057,0.895,0.0,0.0,0.005,0.0,5.2
48,고추잡채,683.55,463.43,47.02,45.218,5.53,52.021,0.0,0.0,40.45,4.123,484.85,1592.4,130.4,18.15,18.0,1.65,1.18,1.378,19.0,3.4,1.96,139.6,11.258,0.223,0.0
49,"집밥백선생 순두부찌개 만들기, 바지락순두부찌개 만들기",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,얼큰하고 칼칼한 해물순두부찌개,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,생청국장으로 구수한 청국장찌개 끓여요,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,표고버섯잡채,270.05,608.9,23.526,4.95,12.81,94.824,0.403,0.57,48.05,4.488,292.3,1980.6,2471.55,0.0,0.0,0.0,0.478,1.929,14.318,0.24,0.0,0.0,0.008,0.0,0.0
53,캠핑부대찌개,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,"건채소로 끓인 구수한 된장찌개, 된장찌개",42.6,17.46,4.08,2.067,4.221,2.178,0.123,1.44,34.2,0.975,62.4,141.9,1545.6,0.3,0.0,2.1,0.132,0.055,0.204,0.0,0.0,0.0,0.303,0.006,0.0
55,돼지고기 낙지 숙주잡채,140.95,7.09,0.592,14.942,2.112,0.268,0.029,0.04,10.35,0.328,26.95,74.1,802.3,0.15,0.0,1.65,0.014,0.021,0.087,0.0,0.0,0.0,2.198,0.044,0.0
56,돼지고기야채 잡채,3065.5,448.52,64.282,85.81,13.132,520.594,13.558,6.1,412.55,7.884,1083.35,2239.65,2207.55,27.0,27.0,0.0,1.755,0.579,17.778,12.7,2.94,209.4,24.94,0.27,24.0
57,동태찌개 만드는법~,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58,구수하니 맛난 꽃게 된장찌개,190.75,106.865,10.454,4.45,8.01,30.23,2.802,9.715,68.15,2.686,194.9,945.0,2321.35,93.55,0.0,1115.6,0.382,0.459,1.68,0.0,0.0,0.0,0.696,0.016,0.0
59,된장찌개 맛있게끓이는법~,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60,부추불고기,376.75,227.065,7.119,20.206,8.058,47.543,19.06,0.87,59.85,1.659,178.3,1021.1,2404.8,45.65,0.0,549.65,0.322,0.117,0.851,15.2,0.0,0.0,2.262,0.044,24.0
61,팽이버섯 돼지고기볶음,722.4,301.515,52.951,52.46,13.022,7.702,0.31,4.48,51.7,3.495,612.0,1486.15,3744.75,25.05,24.3,8.85,1.362,0.564,15.602,4.59,4.076,188.46,13.426,0.304,0.0
62,[찌개] 닭안심살 비지찌개,276.24,0.116,0.0,29.958,1.385,0.06,0.0,0.0,24.735,2.01,51.3,28.875,597.877,1.5,0.0,17.7,0.0,0.019,0.0,0.0,0.0,0.0,2.289,0.123,0.0
63,차돌된장찌개,87.1,82.51,2.96,2.884,1.444,15.203,2.121,0.24,11.7,0.642,66.4,356.65,257.6,0.05,0.0,0.35,0.152,0.019,0.314,3.8,0.0,0.0,0.07,0.001,12.0
64,유자 돼지불고기,115.75,50.415,4.682,0.494,10.474,23.949,14.585,0.93,41.0,2.001,97.6,562.25,3777.0,31.65,0.0,380.0,0.103,0.101,0.846,0.4,0.0,0.0,0.083,0.0,0.0
65,사과소스 돼지불고기,20.4,42.36,3.552,0.018,12.606,1.482,0.174,0.24,23.4,0.396,72.6,394.2,4799.4,0.0,0.0,0.0,0.084,0.065,0.522,0.0,0.0,0.0,0.0,0.0,0.0
66,파김치찌개,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67,돼지고기 호박 오가리볶음,203.0,66.9,17.51,13.74,0.96,0.0,0.0,0.0,7.0,0.73,167.0,300.0,52.0,9.0,9.0,0.0,0.47,0.144,5.5,1.7,0.98,69.8,4.53,0.09,0.0
68,소라된장찌개 & 삼겹제육볶음,63.9,26.19,6.12,3.1,6.332,3.267,0.184,2.16,51.3,1.463,93.6,212.85,2318.4,0.45,0.0,3.15,0.198,0.083,0.306,0.0,0.0,0.0,0.454,0.009,0.0
69,보글보글 언제 먹어도 맛난 묵은지 돼지고기 찌게,582.8,109.66,26.443,50.583,1.517,0.48,0.263,0.16,35.4,2.791,304.8,495.1,81.6,17.3,13.5,45.4,0.712,0.244,8.264,2.91,1.47,104.7,9.091,0.258,2.8
70,감귤 소고기볶음,5.1,10.59,0.888,0.004,3.152,0.37,0.044,0.06,5.85,0.099,18.15,98.55,1199.85,0.0,0.0,0.0,0.021,0.016,0.13,0.0,0.0,0.0,0.0,0.0,0.0
71,오징어 돼지고기 볶음,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72,야채 된장찌개 만들기 채식 다시마육수 된장찌개 채수로 만든 두부된장찌개,39.5,39.4,1.17,0.045,0.45,8.935,0.0,0.95,2.5,0.245,25.0,175.5,0.5,0.5,0.0,4.0,0.06,0.026,0.055,0.0,0.0,0.0,0.01,0.0,0.0
73,캠핑요리로도 좋은 백선생 고추장찌개 만들기 해볼까요?,126.85,80.675,4.334,1.35,1.678,26.963,2.617,7.555,16.85,1.224,101.3,732.15,2.95,93.1,0.0,1112.45,0.184,0.376,1.374,0.0,0.0,0.0,0.242,0.008,0.0
74,백종원 콩나물 찌개 끓이는 법,151.0,438.1,18.6,4.1,5.1,34.1,0.0,0.0,40.0,3.0,206.0,906.0,27.0,3.0,0.0,27.0,0.39,1.02,5.5,51.0,0.0,0.0,0.0,0.0,0.0
75,멸치쌈밥....멸치찌개 & 상추쌈..(sole food),631.35,435.905,87.81,18.254,10.599,27.279,7.971,2.37,51.15,1.826,145.45,595.4,1576.35,7.2,0.0,85.2,0.3,0.099,0.583,5.12,0.0,0.0,0.352,0.006,20.4
76,햇 고추장~뽀글뽀글 고추장찌개,790.0,542.6,96.44,35.74,6.58,20.24,2.1,0.0,42.0,12.76,844.0,1845.0,222.0,26.0,24.0,18.0,0.51,0.638,17.4,42.2,2.32,206.0,12.58,0.72,12.0
77,부대찌개..비오는날엔 얼큰한 부대찌개!!(생생정보통),42.0,182.0,5.61,0.47,1.56,10.39,0.18,4.3,43.0,8.92,142.0,367.0,3.0,7.0,0.0,82.0,0.07,0.357,0.56,8.0,1.43,0.0,0.05,0.0,0.0
78,꽃빵과 어우린 영양잡채 만들기,104.05,38.745,9.199,6.872,2.056,0.185,0.022,0.03,6.425,0.414,92.575,199.275,625.925,4.5,4.5,0.0,0.246,0.08,2.815,0.85,0.49,34.9,2.265,0.045,0.0
79,완두콩 마파두부,71.088,44.713,3.647,1.19,5.614,12.344,7.725,1.557,29.655,0.773,66.514,270.629,1995.381,6.09,0.0,72.105,0.109,0.054,0.389,0.971,0.0,0.0,0.164,0.005,3.45
80,돼지고기 김치찌개,803.6,256.41,46.785,64.597,3.381,6.632,0.18,4.3,34.4,2.77,528.2,1133.8,137.8,22.8,22.5,3.3,1.205,0.498,14.11,4.25,3.88,174.5,15.77,0.312,0.0
81,잡채,1354.5,154.78,5.868,32.941,14.177,262.255,30.129,3.24,159.2,2.608,273.6,807.2,4827.1,0.3,0.0,3.3,0.214,0.096,0.802,3.8,0.0,0.0,4.415,0.087,12.0
82,"스팸 버섯 찌개, 빠르게 끓여내는 가벼운 국물에 자연송이와 스팸 넣은 찌개",32.2,109.58,3.926,0.249,7.003,9.251,1.307,5.32,12.7,1.618,69.3,502.1,2400.7,0.0,0.0,0.0,0.052,0.487,3.171,1.8,0.0,0.0,0.05,0.0,0.0
83,집밥 백선생 김치찌개 따라하기,131.85,23.4,6.777,3.594,3.875,22.357,5.613,12.48,42.15,2.044,151.8,894.75,806.55,184.35,0.0,2209.95,0.212,0.681,2.688,0.24,0.0,0.0,0.603,0.018,0.0
84,얼큰한 돼지고기찌개,4.95,3.64,0.25,0.014,0.069,1.028,0.106,0.15,0.45,0.03,6.0,20.5,9.95,0.0,0.0,0.0,0.006,0.002,0.019,0.08,0.0,0.0,0.003,0.0,0.0
85,닭볶음,348.0,407.2,10.27,2.94,4.13,75.46,4.49,8.3,46.0,2.19,245.0,1652.0,19.0,302.0,0.0,3606.0,0.52,0.218,1.46,3.8,0.0,0.0,0.11,0.0,12.0
86,"쫀득한~ 찰옥수수전, 옥수수전",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87,파김치전 만들기,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
88,고소하고 맛있는전 돼지고기부추전,845.25,152.27,31.065,55.794,3.86,51.991,1.478,1.65,275.65,11.777,1063.85,396.9,338.1,635.65,590.0,549.65,0.733,1.596,1.144,8.08,0.0,0.0,2.238,0.044,0.0
89,마파두부 덮밥,65.0,45.955,2.118,0.053,0.43,16.446,13.927,0.0,8.7,0.604,42.15,145.1,6.2,0.0,0.0,0.0,0.045,0.145,0.65,0.0,0.0,0.0,0.0,0.0,0.0
90,정식품진한콩국물을활용한색다른요리레시피공모전(콩국물부침개),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91,달달한 바나나와 오도독 아몬드가 씹히는 치지한 치즈토스트,1184.3,16.0,27.25,81.69,6.07,98.99,57.81,18.3,363.0,5.69,626.0,2059.0,3.0,58.8,0.0,706.3,0.08,1.484,4.48,0.0,0.0,0.0,8.452,0.049,0.0
92,노란색 양배추전 # 치즈전,507.25,311.01,23.07,28.53,3.604,38.787,10.518,2.4,409.85,6.268,743.2,530.75,228.6,545.15,418.75,1512.0,0.397,1.265,1.723,14.56,0.0,21.825,4.938,0.315,0.0
93,아이들도 좋아하는 단맛 가득한 양배추 볶음밥,58.5,134.55,5.07,2.655,0.825,6.9,1.095,5.1,88.5,1.725,148.5,141.0,12.0,25.5,0.0,297.0,0.0,0.45,0.78,47.85,0.0,0.0,0.165,0.0,0.0
94,추운 겨울 따듯함을 담은 달콤함 ' 꿀고구마 찹쌀전',0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
95,고구마 찰전,46.0,188.2,0.96,0.22,0.7,9.92,0.0,9.0,250.0,0.9,16.0,62.0,6.0,18.0,0.0,222.0,0.0,0.02,0.0,0.0,0.0,0.0,0.08,0.0,0.0
96,계란볶음밥,666.8,84.285,28.8,40.6,7.715,43.6,0.0,0.0,251.45,12.52,998.0,136.25,2256.6,590.0,590.0,0.0,0.68,1.52,1.0,0.0,0.0,0.0,0.0,0.0,0.0
97,영양가득 오므라이스 간단하게 만드는 소스,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
98,제철 옥수수 맛있게 삶는법 냄비에 삶기,200.8,446.285,8.5,1.5,7.515,41.2,0.0,0.0,57.45,3.32,265.0,6.25,1980.6,0.0,0.0,0.0,0.85,0.5,1.0,110.0,0.0,0.0,0.0,0.0,0.0
99,옥수수 찜기에 찌는법,120.0,267.6,5.1,0.9,1.8,24.6,0.0,0.0,30.0,1.2,159.0,0.0,0.0,0.0,0.0,0.0,0.51,0.3,0.6,66.0,0.0,0.0,0.0,0.0,0.0
100,단호박 담백하고 맛있게 찌는방법,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
101,스페인하숙 차세프의 오삼불고기 덮밥,419.15,126.122,9.846,20.021,14.958,56.572,28.4,11.55,70.35,2.761,246.275,1519.05,4809.75,184.35,0.0,2210.55,0.343,0.734,3.331,3.8,0.0,0.0,2.661,0.058,12.0
102,줄서서먹는그맛♥매콤핫떡볶이,29.25,39.33,1.386,1.494,0.302,2.488,1.854,0.0,50.85,0.023,37.8,64.35,16.2,24.75,24.75,0.0,0.009,0.073,0.135,0.36,0.0,4.365,0.976,0.063,0.0
103,새우가 없어도 새우깡만 있으면 쉽게 만드는 바삭한 부추전,333.0,42.0,14.4,20.3,1.6,21.7,0.0,0.0,122.0,5.6,499.0,65.0,138.0,295.0,295.0,0.0,0.34,0.76,0.5,0.0,0.0,0.0,0.0,0.0,0.0
104,국수전 - 남은국수로 만든 별미 전요리,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
105,닭 가슴살 부추전,216.0,124.78,5.384,3.012,1.712,45.112,1.83,0.0,14.8,1.034,120.8,836.4,3.0,0.0,0.0,0.0,0.264,0.024,0.304,11.84,0.0,0.0,0.066,0.0,26.6
106,오꼬노미야끼,78.0,179.4,6.76,3.54,1.1,9.2,1.46,6.8,118.0,2.3,198.0,188.0,16.0,34.0,0.0,396.0,0.0,0.6,1.04,63.8,0.0,0.0,0.22,0.0,0.0
107,밥알에 황금색코팅?! 황금볶음밥,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
108,애호박 치즈전,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
109,세발나물바나나전,984.0,162.6,24.29,21.38,8.83,182.9,107.8,17.8,277.0,8.62,712.0,2888.0,389.0,750.0,295.0,5450.0,0.8,1.097,3.55,2.8,0.0,0.0,0.35,0.0,0.0
110,고소한 감자부침개 만드는 법,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
